# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.0600,-5.1100,0.6042,0.6042
-3.0600,-5.1200,0.6021,0.6021
-3.0600,-5.1300,0.6002,0.6002
-3.0700,-5.1400,0.5886,0.5886
-3.0700,-5.1500,0.5869,0.5869
-3.0800,-5.1600,0.5756,0.5756
-3.0800,-5.1700,0.5743,0.5743
-3.0800,-5.1800,0.5731,0.5731
-3.0800,-5.1900,0.5722,0.5722
-3.0900,-5.2000,0.5614,0.5614
-3.0900,-5.2100,0.5608,0.5608
-3.0900,-5.2200,0.5604,0.5604
-3.0900,-5.2300,0.5601,0.5601
-3.0900,-5.2400,0.5600,0.5600
-3.0900,-5.2500,0.5601,0.5601
-3.0900,-5.2600,0.5604,0.5604
-3.0900,-5.2700,0.5608,0.5608
-3.0900,-5.2800,0.5614,0.5614
-3.0900,-5.2900,0.5622,0.5622
-3.0900,-5.3000,0.5632,0.5632
-3.0900,-5.3100,0.5644,0.5644
-3.1000,-5.3200,0.5558,0.5558
-3.1000,-5.3300,0.5573,0.5573
-3.1000,-5.3400,0.5590,0.5590
-3.1000,-5.3500,0.5608,0.5608
-3.1000,-5.3600,0.5604,0.5604
-3.1000,-5.3700,0.5601,0.5601
-3.1000,-5.3800,0.5600,0.5600
-3.1000,-5.3900,0.5601,0.5601
-3.1000,-5.4000,0.5604,0.5604
-3.1000,-5.4100,0.5608,0.5608
-3.1000,-5.4200,0.5614,0.5614
-3.1000,-5.4300,0.5622,0.5622
-3.1000,-5.4400,0.5632,0.5632
-3.1000,-5.4500,0.5644,0.5644
-3.1000,-5.4600,0.5657,0.5657
-3.1000,-5.4700,0.5644,0.5644
-3.1000,-5.4800,0.5632,0.5632
-3.1000,-5.4900,0.5622,0.5622
-3.1000,-5.5000,0.5614,0.5614
-3.1000,-5.5100,0.5608,0.5608
-3.1000,-5.5200,0.5604,0.5604
-3.1000,-5.5300,0.5601,0.5601
-3.1000,-5.5400,0.5600,0.5600
-3.1000,-5.5500,0.5601,0.5601
-3.1000,-5.5600,0.5604,0.5604
-3.1000,-5.5700,0.5604,0.5604
-3.1000,-5.5800,0.5601,0.5601
-3.1000,-5.5900,0.5600,0.5600
-3.1000,-5.6000,0.5601,0.5601
-3.1000,-5.6100,0.5604,0.5604
-3.1000,-5.6200,0.5608,0.5608
-3.1100,-5.6300,0.5515,0.5515
-3.1000,-5.6400,0.5622,0.5622
-3.1000,-5.6500,0.5622,0.5622
-3.1000,-5.6600,0.5614,0.5614
-3.1000,-5.6700,0.5608,0.5608
-3.1000,-5.6800,0.5604,0.5604
-3.1000,-5.6900,0.5601,0.5601
-3.1000,-5.7000,0.5600,0.5600
-3.1000,-5.7100,0.5590,0.5590
-3.1000,-5.7200,0.5573,0.5573
-3.1000,-5.7300,0.5558,0.5558
-3.1000,-5.7400,0.5544,0.5544
-3.1000,-5.7500,0.5533,0.5533
-3.1000,-5.7600,0.5523,0.5523
-3.1000,-5.7700,0.5515,0.5515
-3.1000,-5.7800,0.5508,0.5508
-3.1000,-5.7900,0.5504,0.5504
